trial b Estimate
0 1 0.9415243020383657
0 2 0.914788353040705
0 3 0.9090304289363531
0 4 0.9054689161417998
0 5 0.8998906438841405
0 10 0.8865179902680419
0 20 0.8723978243403362
0 30 0.8415860404848139
0 40 0.8319504600049326
1 1 0.8891575779450932
1 2 0.8366327618208463
1 3 0.8320948278024479
1 4 0.8299849640017901
1 5 0.822759193678664
1 10 0.8202873777836512
1 20 0.8132102290054048
1 30 0.8053916863594083
1 40 0.7955873333135013
2 1 0.89796923722656
2 2 0.8964242614629749
2 3 0.8943216352271767
2 4 0.8930712680420476
2 5 0.8914128335419951
2 10 0.8883314908190947
2 20 0.8762636432996915
2 30 0.8726946346157939
2 40 0.8635921907983104
3 1 0.9071085701298996
3 2 0.9037712849878803
3 3 0.9029101829620997
3 4 0.9016470726727556
3 5 0.9004588860873757
3 10 0.884394262135214
3 20 0.8702234263040138
3 30 0.8573303823928892
3 40 0.8478807655140261
4 1 0.9317907938232787
4 2 0.9097108851812596
4 3 0.9039302685447966
4 4 0.9032664335486933
4 5 0.9014817006039966
4 10 0.8975328995958328
4 20 0.885458838106409
4 30 0.8645209168496486
4 40 0.8465542722993465
